22:50:44.776 DEBUG [DefaultLocalSearchPhase]     LS step (149), time spent (78001), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1112), picked move ([66] Zomergem in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 08:00 [2139] -> Bondsreeks meisjes & gemengd om 09:42 [2241]}).
22:50:44.948 DEBUG [DefaultLocalSearchPhase]     LS step (150), time spent (78173), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1125), picked move ([68] Kruibeke in Bondsreeks  &  {Bondsreeks meisjes & gemengd om 10:12 [2271] -> Bondsreeks meisjes & gemengd om 10:00 [2259]}).
22:50:45.035 DEBUG [DefaultLocalSearchPhase]     LS step (151), time spent (78260), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1134), picked move ([55] Beervelde in Basiswimpelen vrije {Basiswimpelen vrije om 10:06 [2203] -> Basiswimpelen vrije om 11:18 [2275]}).
22:50:45.119 DEBUG [DefaultLocalSearchPhase]     LS step (152), time spent (78344), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1121), picked move ([54] Lochristi Hijfte Meisjes in Basiswimpelen vrije {Basiswimpelen vrije om 11:30 [2287] -> Basiswimpelen vrije om 10:06 [2203]}).
22:50:45.215 DEBUG [DefaultLocalSearchPhase]     LS step (153), time spent (78440), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1122), picked move ([200] Hamme in Vrije ritmiek  &  {Vrije ritmiek meisjes & gemengd om 09:00 [2633] -> Vrije ritmiek meisjes & gemengd om 09:42 [2675]}).
22:50:45.312 DEBUG [DefaultLocalSearchPhase]     LS step (154), time spent (78537), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1130), picked move ([99] Zele Heikant 1 in Brechts korpsvendelen {Brechts korpsvendelen A om 08:00 [2170]} <-> [101] Zele Heikant 3 in Brechts korpsvendelen {Brechts korpsvendelen A om 08:30 [2200]}).
22:50:45.406 DEBUG [DefaultLocalSearchPhase]     LS step (155), time spent (78631), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1120), picked move ([24] Merchtem in Basiswimpelen basis {Basiswimpelen basis B om 10:00 [2104] -> Basiswimpelen basis B om 09:42 [2086]}).
22:50:45.490 DEBUG [DefaultLocalSearchPhase]     LS step (156), time spent (78715), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1124), picked move ([146] Beervelde in Hoofdgilden {Hoofdgilden om 10:24 [2500] -> Hoofdgilden om 10:42 [2518]}).
22:50:45.596 DEBUG [DefaultLocalSearchPhase]     LS step (157), time spent (78821), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1150), picked move ([37] Stekene 2 in Basiswimpelen muziek {Basiswimpelen muziek B om 09:54 [2160] -> Basiswimpelen muziek B om 09:48 [2154]}).
22:50:45.689 DEBUG [DefaultLocalSearchPhase]     LS step (158), time spent (78914), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1119), picked move ([36] Stekene 1 in Basiswimpelen muziek {Basiswimpelen muziek B om 09:24 [2130] -> Basiswimpelen muziek B om 09:30 [2136]}).
22:50:45.780 DEBUG [DefaultLocalSearchPhase]     LS step (159), time spent (79005), score (0hard/-13soft),     best score (0hard/-13soft), accepted/selected move count (1000/1132), picked move ([161] Lochristi Hijfte Meisjes in Kringdans  &  {Kringdans meisjes & gemengd om 09:48 [2557] -> Kringdans meisjes & gemengd om 08:30 [2479]}).
